Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
1907.349,1.13E-13,-129.4641266,-124.1624908,0.099980818,18.40766548
1913.309,2.93E-11,-105.3381729,-100.0365295,0.099980819,18.40766556
1919.27,1.25E-10,-99.02371979,-93.72207642,0.099980821,18.40766598
1925.23,3.41E-11,-104.6699982,-99.36836243,0.099980823,18.40766642
1931.19,7.37E-14,-131.323349,-126.0217133,0.099980824,18.40766651
1937.151,6.60E-14,-131.8024597,-126.5008163,0.099980824,18.40766651
1943.111,1.22E-13,-129.1253815,-123.8237381,0.099980824,18.40766651
1949.072,1.09E-13,-129.6128693,-124.3112335,0.099980824,18.40766651
1955.032,8.01E-14,-130.966217,-125.6645813,0.099980824,18.40766651
1960.993,8.13E-14,-130.8972015,-125.5955658,0.099980824,18.40766652
1966.953,5.55E-14,-132.5564728,-127.2548218,0.099980824,18.40766652
1972.914,6.81E-14,-131.6708832,-126.3692474,0.099980824,18.40766652
1978.874,8.39E-14,-130.7599487,-125.458313,0.099980824,18.40766652
1984.835,1.25E-13,-129.0306702,-123.7290268,0.099980824,18.40766652
1990.795,2.32E-13,-126.3392105,-121.0375671,0.099980824,18.40766652
1996.756,2.71E-13,-125.6644745,-120.3628387,0.099980824,18.40766652
2002.716,2.32E-13,-126.3365326,-121.0348969,0.099980824,18.40766652
